"yyyymmdd,Hr:Min:Sec,Temp"
"20160613,6:00:00,17.89"
"20160613,7:00:00,18.89"
"20160613,8:00:00,20.13"
"20160613,9:00:00,20.58"
"20160613,10:00:00,20.56"
"20160613,11:00:00,20.27"
"20160613,12:00:00,20.32"
"20160613,13:00:00,20.08"
"20160613,14:00:00,19.98"
"20160613,15:00:00,20.6"
"20160613,16:00:00,20.08"
"20160613,17:00:00,19.63"
"20160613,18:00:00,19.29"
"20160613,19:00:00,19.03"
"20160613,20:00:00,18.72"
"20160613,21:00:00,18.49"
"20160613,22:00:00,18.44"
"20160613,23:00:00,18.27"
"20160614,0:00:00,18.25"
"20160614,1:00:00,18.11"
"20160614,2:00:00,18.11"
"20160614,3:00:00,18.08"
"20160614,4:00:00,18.13"
"20160614,5:00:00,18.18"
"20160614,6:00:00,18.41"
"20160614,7:00:00,18.7"
"20160614,8:00:00,19.39"
"20160614,9:00:00,20.06"
"20160614,10:00:00,20.34"
"20160614,11:00:00,20.39"
"20160614,12:00:00,20.65"
"20160614,13:00:00,20.48"
"20160614,14:00:00,19.65"
"20160614,15:00:00,18.91"
"20160614,16:00:00,18.39"
"20160614,17:00:00,18.11"
"20160614,18:00:00,17.99"
"20160614,19:00:00,18.08"
"20160614,20:00:00,18.03"
"20160614,21:00:00,17.82"
"20160614,22:00:00,17.49"
"20160614,23:00:00,17.32"
"20160615,0:00:00,17.13"
"20160615,1:00:00,16.96"
"20160615,2:00:00,16.84"
"20160615,3:00:00,16.92"
"20160615,4:00:00,17.18"
"20160615,5:00:00,17.56"
"20160615,6:00:00,18.22"
"20160615,7:00:00,19.01"
"20160615,8:00:00,19.51"
"20160615,9:00:00,20.41"
"20160615,10:00:00,20.75"
"20160615,11:00:00,20.98"
"20160615,12:00:00,20.13"
"20160615,13:00:00,24.15"
"20160615,14:00:00,23.81"
"20160615,15:00:00,22.85"
"20160615,16:00:00,21.58"
"20160615,17:00:00,20.67"
"20160615,18:00:00,20.06"
"20160615,19:00:00,19.7"
"20160615,20:00:00,19.41"
"20160615,21:00:00,19.22"
"20160615,22:00:00,19.13"
"20160615,23:00:00,18.96"
"20160616,0:00:00,18.75"
"20160616,1:00:00,18.56"
"20160616,2:00:00,18.39"
"20160616,3:00:00,18.46"
"20160616,4:00:00,18.68"
"20160616,5:00:00,19.13"
"20160616,6:00:00,19.72"
"20160616,7:00:00,20.34"
"20160616,8:00:00,20.4"
"20160616,9:00:00,20.46"
"20160616,10:00:00,20.52"
"20160616,11:00:00,20.58"
"20160616,12:00:00,20.64"
"20160616,13:00:00,20.69"
"20160616,14:00:00,20.75"
"20160616,15:00:00,20.81"
"20160616,16:00:00,20.87"
"20160616,17:00:00,18.92"
"20160616,18:00:00,18.98"
"20160616,19:00:00,19.04"
"20160616,20:00:00,19.09"
"20160616,21:00:00,19.15"
"20160616,22:00:00,19.21"
"20160616,23:00:00,19.27"
"20160617,0:00:00,19.45"
"20160617,1:00:00,19.71"
"20160617,2:00:00,19.97"
"20160617,3:00:00,20.23"
"20160617,4:00:00,20.49"
"20160617,5:00:00,19"
"20160617,6:00:00,19.21"
"20160617,7:00:00,19.41"
"20160617,8:00:00,19.62"
"20160617,9:00:00,19.82"
"20160617,10:00:00,20.03"
"20160617,11:00:00,20.23"
"20160617,12:00:00,20.44"
"20160617,13:00:00,21.1"
"20160617,14:00:00,21.37"
"20160617,15:00:00,21.89"
"20160617,16:00:00,20.98"
"20160617,17:00:00,20.75"
"20160617,18:00:00,20.51"
"20160617,19:00:00,23.38"
"20160617,20:00:00,21.75"
"20160617,21:00:00,20.96"
"20160617,22:00:00,20.58"
"20160617,23:00:00,20.2"
"20160618,0:00:00,19.96"
"20160618,1:00:00,19.79"
"20160618,2:00:00,19.58"
"20160618,3:00:00,19.37"
"20160618,4:00:00,19.18"
"20160618,5:00:00,18.87"
"20160618,6:00:00,18.6"
"20160618,7:00:00,18.53"
"20160618,8:00:00,18.75"
"20160618,9:00:00,19.2"
"20160618,10:00:00,19.77"
"20160618,11:00:00,20.6"
"20160618,12:00:00,21.46"
"20160618,13:00:00,21.94"
"20160618,14:00:00,22.08"
"20160618,15:00:00,22.2"
"20160618,16:00:00,21.68"
"20160618,17:00:00,21.37"
"20160618,18:00:00,21.18"
"20160618,19:00:00,20.84"
"20160618,20:00:00,20.65"
"20160618,21:00:00,20.51"
"20160618,22:00:00,20.63"
"20160618,23:00:00,20.46"
"20160619,0:00:00,20.25"
"20160619,1:00:00,20.15"
"20160619,2:00:00,20.06"
"20160619,3:00:00,19.98"
"20160619,4:00:00,19.84"
"20160619,5:00:00,19.7"
"20160619,6:00:00,19.58"
"20160619,7:00:00,19.53"
"20160619,8:00:00,19.75"
"20160619,9:00:00,20.15"
"20160619,10:00:00,20.46"
"20160619,11:00:00,20.82"
"20160619,12:00:00,20.91"
"20160619,13:00:00,21.37"
"20160619,14:00:00,22.39"
"20160619,15:00:00,22.61"
"20160619,16:00:00,22.59"
"20160619,17:00:00,22.42"
"20160619,18:00:00,22.2"
"20160619,19:00:00,21.89"
"20160619,20:00:00,21.03"
"20160619,21:00:00,21.18"
"20160619,22:00:00,20.96"
"20160619,23:00:00,20.87"
"20160620,0:00:00,20.87"
"20160620,1:00:00,20.89"
"20160620,2:00:00,20.7"
"20160620,3:00:00,20.51"
"20160620,4:00:00,20.48"
"20160620,5:00:00,20.41"
"20160620,6:00:00,20.44"
"20160620,7:00:00,20.46"
"20160620,8:00:00,20.7"
"20160620,9:00:00,21.22"
"20160620,10:00:00,21.65"
"20160620,11:00:00,22.23"
"20160620,12:00:00,22.8"
"20160620,13:00:00,22.99"
"20160620,14:00:00,23.23"
"20160620,15:00:00,23.45"
"20160620,16:00:00,23.35"
"20160620,17:00:00,23.18"
"20160620,18:00:00,23.09"
"20160620,19:00:00,22.99"
"20160620,20:00:00,22.85"
"20160620,21:00:00,22.11"
"20160620,22:00:00,22.32"
"20160620,23:00:00,21.96"
"20160621,0:00:00,21.72"
"20160621,1:00:00,21.58"
"20160621,2:00:00,21.46"
"20160621,3:00:00,21.32"
"20160621,4:00:00,21.2"
"20160621,5:00:00,20.98"
"20160621,6:00:00,20.98"
"20160621,7:00:00,20.94"
"20160621,8:00:00,20.94"
"20160621,9:00:00,21.27"
"20160621,10:00:00,22.06"
"20160621,11:00:00,23.21"
"20160621,12:00:00,24.17"
"20160621,13:00:00,24.9"
"20160621,14:00:00,25.04"
"20160621,15:00:00,24.94"
"20160621,16:00:00,24.63"
"20160621,17:00:00,24.48"
"20160621,18:00:00,24.05"
"20160621,19:00:00,23.64"
"20160621,20:00:00,23.23"
"20160621,21:00:00,23.09"
"20160621,22:00:00,22.8"
"20160621,23:00:00,22.51"
"20160622,0:00:00,22.23"
"20160622,1:00:00,21.96"
"20160622,2:00:00,21.63"
"20160622,3:00:00,21.41"
"20160622,4:00:00,21.27"
"20160622,5:00:00,21.25"
"20160622,6:00:00,21.1"
"20160622,7:00:00,21.03"
"20160622,8:00:00,20.98"
"20160622,9:00:00,21.37"
"20160622,10:00:00,21.65"
"20160622,11:00:00,22.32"
"20160622,12:00:00,22.85"
"20160622,13:00:00,23.47"
"20160622,14:00:00,23.69"
"20160622,15:00:00,23.86"
"20160622,16:00:00,23.45"
"20160622,17:00:00,23.04"
"20160622,18:00:00,22.71"
"20160622,19:00:00,22.3"
"20160622,20:00:00,21.87"
"20160622,21:00:00,21.65"
"20160622,22:00:00,21.44"
"20160622,23:00:00,21.29"
"20160623,0:00:00,21.1"
"20160623,1:00:00,21.01"
"20160623,2:00:00,20.84"
"20160623,3:00:00,20.72"
"20160623,4:00:00,20.72"
"20160623,5:00:00,20.65"
"20160623,6:00:00,20.58"
"20160623,7:00:00,20.56"
"20160623,8:00:00,20.65"
"20160623,9:00:00,20.94"
"20160623,10:00:00,21.18"
"20160623,11:00:00,21.6"
"20160623,12:00:00,22.03"
"20160623,13:00:00,22.59"
"20160623,14:00:00,23.14"
"20160623,15:00:00,23.26"
"20160623,16:00:00,23.14"
"20160623,17:00:00,22.78"
"20160623,18:00:00,22.39"
"20160623,19:00:00,21.96"
"20160623,20:00:00,21.46"
"20160623,21:00:00,21.06"
"20160623,22:00:00,20.79"
"20160623,23:00:00,20.7"
"20160624,0:00:00,20.6"
"20160624,1:00:00,20.48"
"20160624,2:00:00,20.34"
"20160624,3:00:00,20.25"
"20160624,4:00:00,20.25"
"20160624,5:00:00,20.2"
"20160624,6:00:00,20.2"
"20160624,7:00:00,20.22"
"20160624,8:00:00,20.34"
"20160624,9:00:00,20.53"
"20160624,10:00:00,20.77"
"20160624,11:00:00,21.22"
"20160624,12:00:00,21.7"
"20160624,13:00:00,22.25"
"20160624,14:00:00,22.51"
"20160624,15:00:00,22.73"
"20160624,16:00:00,22.73"
"20160624,17:00:00,22.51"
"20160624,18:00:00,22.18"
"20160624,19:00:00,21.84"
"20160624,20:00:00,21.37"
"20160624,21:00:00,20.89"
"20160624,22:00:00,20.58"
"20160624,23:00:00,20.63"
"20160625,0:00:00,20.65"
"20160625,1:00:00,20.46"
"20160625,2:00:00,20.37"
"20160625,3:00:00,20.34"
"20160625,4:00:00,20.32"
"20160625,5:00:00,20.32"
"20160625,6:00:00,20.15"
"20160625,7:00:00,20.2"
"20160625,8:00:00,20.25"
"20160625,9:00:00,20.48"
"20160625,10:00:00,20.87"
"20160625,11:00:00,21.51"
"20160625,12:00:00,22.66"
"20160625,13:00:00,23.06"
"20160625,14:00:00,23.26"
"20160625,15:00:00,23.57"
"20160625,16:00:00,23.62"
"20160625,17:00:00,23.45"
"20160625,18:00:00,23.21"
"20160625,19:00:00,22.94"
"20160625,20:00:00,22.61"
"20160625,21:00:00,22.13"
"20160625,22:00:00,21.77"
"20160625,23:00:00,21.46"
"20160626,0:00:00,21.22"
"20160626,1:00:00,21.03"
"20160626,2:00:00,20.94"
"20160626,3:00:00,20.87"
"20160626,4:00:00,20.75"
"20160626,5:00:00,20.63"
"20160626,6:00:00,20.53"
"20160626,7:00:00,20.51"
"20160626,8:00:00,20.75"
"20160626,9:00:00,21.1"
"20160626,10:00:00,21.41"
"20160626,11:00:00,21.8"
"20160626,12:00:00,21.96"
"20160626,13:00:00,22.3"
"20160626,14:00:00,23.23"
"20160626,15:00:00,23.4"
"20160626,16:00:00,23.33"
"20160626,17:00:00,23.04"
"20160626,18:00:00,22.73"
"20160626,19:00:00,22.42"
"20160626,20:00:00,21.99"
"20160626,21:00:00,21.63"
"20160626,22:00:00,21.37"
"20160626,23:00:00,21.18"
"20160627,0:00:00,21.01"
"20160627,1:00:00,20.91"
"20160627,2:00:00,20.89"
"20160627,3:00:00,20.89"
"20160627,4:00:00,20.79"
"20160627,5:00:00,20.7"
"20160627,6:00:00,20.7"
"20160627,7:00:00,20.79"
"20160627,8:00:00,20.94"
"20160627,9:00:00,21.15"
"20160627,10:00:00,21.51"
"20160627,11:00:00,21.6"
"20160627,12:00:00,21.8"
"20160627,13:00:00,22.25"
"20160627,14:00:00,23.33"
"20160627,15:00:00,23.57"
"20160627,16:00:00,23.55"
"20160627,17:00:00,23.38"
"20160627,18:00:00,23.3"
"20160627,19:00:00,22.94"
"20160627,20:00:00,22.68"
"20160627,21:00:00,22.49"
"20160627,22:00:00,22.27"
"20160627,23:00:00,22.11"
"20160628,0:00:00,21.99"
"20160628,1:00:00,21.84"
"20160628,2:00:00,21.72"
"20160628,3:00:00,21.58"
"20160628,4:00:00,21.53"
"20160628,5:00:00,21.49"
"20160628,6:00:00,21.44"
"20160628,7:00:00,21.41"
"20160628,8:00:00,21.56"
"20160628,9:00:00,21.8"
"20160628,10:00:00,22.13"
"20160628,11:00:00,22.66"
"20160628,12:00:00,23.23"
"20160628,13:00:00,23.33"
"20160628,14:00:00,23.47"
"20160628,15:00:00,23.52"
"20160628,16:00:00,23.45"
"20160628,17:00:00,23.14"
"20160628,18:00:00,22.73"
"20160628,19:00:00,22.35"
"20160628,20:00:00,21.94"
"20160628,21:00:00,21.65"
"20160628,22:00:00,21.44"
"20160628,23:00:00,21.34"
"20160629,0:00:00,21.22"
"20160629,1:00:00,21.18"
"20160629,2:00:00,21.13"
"20160629,3:00:00,21.1"
"20160629,4:00:00,21.08"
"20160629,5:00:00,21.1"
"20160629,6:00:00,21.18"
"20160629,7:00:00,21.25"
"20160629,8:00:00,21.32"
"20160629,9:00:00,21.56"
"20160629,10:00:00,21.68"
"20160629,11:00:00,22.06"
"20160629,12:00:00,22.39"
"20160629,13:00:00,22.97"
"20160629,14:00:00,23.23"
"20160629,15:00:00,23.3"
"20160629,16:00:00,23.21"
"20160629,17:00:00,22.82"
"20160629,18:00:00,22.54"
"20160629,19:00:00,22.3"
"20160629,20:00:00,22.08"
"20160629,21:00:00,21.87"
"20160629,22:00:00,21.65"
"20160629,23:00:00,21.46"
"20160630,0:00:00,21.32"
"20160630,1:00:00,21.22"
"20160630,2:00:00,21.15"
"20160630,3:00:00,21.06"
"20160630,4:00:00,21.03"
"20160630,5:00:00,20.96"
"20160630,6:00:00,20.84"
"20160630,7:00:00,20.79"
"20160630,8:00:00,20.94"
"20160630,9:00:00,21.1"
"20160630,10:00:00,21.27"
"20160630,11:00:00,21.46"
"20160630,12:00:00,21.72"
"20160630,13:00:00,22.13"
"20160630,14:00:00,22.51"
"20160630,15:00:00,22.59"
"20160630,16:00:00,22.68"
"20160630,17:00:00,22.66"
"20160630,18:00:00,22.56"
"20160630,19:00:00,22.35"
"20160630,20:00:00,21.99"
"20160630,21:00:00,21.68"
"20160630,22:00:00,21.49"
"20160630,23:00:00,21.34"
"20160701,0:00:00,21.27"
"20160701,1:00:00,21.22"
"20160701,2:00:00,21.13"
"20160701,3:00:00,21.06"
"20160701,4:00:00,21.06"
"20160701,5:00:00,20.98"
